Ahlder Börse
 Einheitskurse

                       Ute     Vortag

 21.03.96              Ute     Vortag
 Energ.Teisnach    345.00     345.00
 Eschweiler.......    300.00     300.00
 F.A.Guenther.....     90.00      91.00
 Flachglas........    645.00     650.00
 Ford.............    800.00     800.00
 August Dalhaus.....   4800.00    4620.00
 Brunhilde.........    420.00     403.00
 Gehe.............    679.00     680.00
 21.03.96              Ute     Vortag
 Haberney.....    269.00     267.00
 Gilde Braeu......      0.00    1010.00
 Gildemeister.....    151.00     154.00
 Grosskr.Haslen..    485.00     485.00
 Gruschwitz.......    680.00     680.00
 Georgette...........    155.00     155.00
 HamburgHyp.......    890.00     890.00
 Eichenbirkig Rück....     59.20      59.30
 Haus & Heim......   1920.00    1950.00
 Heidelbg.Zement..    900.00     900.00
 Frank, Voegtlen....    400.00     400.00
 Kallwey........    540.00     540.00
 Ketelaar...........    350.00     350.00
 Focko..........     92.00      92.00
 Körnle-Auferm.    275.00     275.00
 Holsten..........    310.00     310.00
 21.03.96              Ute     Vortag
 Huettenwerke.....    155.10     157.00
 Hutschenreuter...    143.00     143.00
 IKB..............      0.00     263.00
 Ikon.............    181.00     181.00
 Isar-Amperwerke..    550.00     555.00
 Kammgarn Wolkertsham.    348.00     350.00
 Keramag..........    550.00     550.00
 KM Europa Metall.    130.00     131.00
 Jasomirgottstraße.....   7000.00    7000.00
 Koetitzer Vz.....   6700.00    6700.00
 Göller-Schuele.....     36.00      36.00
 Kraft Rheinfeld..    500.00     500.00
 Gutenkunst....   8797.24    8797.24
 Kromschroeder....    530.00     535.00
 Kueppersbusch....    210.00     210.00
 Kunstanstalten May     0.00    1700.00
 21.03.96              Ute     Vortag
 KWS Saatzucht....    619.00     619.00
 Langbein.........    270.00     270.00
 Wintrich............    107.00     107.00
 Loewenbraeu......   2300.00    2300.00
 Markt-Kuehlhallen    235.00     225.00
 Ivano Optenhövel...    205.00     205.00
 Jasmin.........   4200.00    4200.00
 Muehle Ruenigen..    325.00     325.00
 Muenchner Rueck..   2500.00    2500.00
 Neckarwerke......    355.00     355.00
 Norddeut.Hypo....    360.00     360.00
 Norddeut.Steingut     42.00      41.50
 Partystrolche   1100.00    1100.00
 Nordstern........   2710.00    2710.00
 Nordstern Leben..   2000.00    2040.00
 Oelmuehle Hbg....    185.00     185.00
 21.03.96              Ute     Vortag
 Hélène Minen......    175.00     175.00
 Mattke.......      0.00      63.00
 Pegasus Vz.......      0.00      67.00
 Aulbert..........     72.00      75.00
 Pomm.Prov.Zucker.   4000.00    4000.00
 Rathgeber........    730.00     730.00
 Reichelbraeu.....    430.00     430.00
 Rheinboden.......    260.00     260.00
 Rheinelektra.....   1170.00    1159.00
 Rheinhyp.........      0.00     710.00
 Rhenag...........    320.00     320.00
 Jägg-Uebelmann...   1310.00    1310.00
 Jenzsch........    134.00     132.00
 Janicki.....    155.00     155.00
 Terbyuken..........    407.00     403.00
 Sachsenmilch.....     76.00      76.00
 21.03.96              Ute     Vortag
 Sinner...........    386.00     386.00
 Spinnerei Momm...   4767.46    4767.46
 Springer Verlag..    863.00     860.00
 Stahl Aull.....    290.00     290.00
 Steucon..........    145.00     145.00
 Stoehr...........      0.00     190.00
 Kurt Imler..    635.00     635.00
 Stollwerck.......    425.00     425.00
 Sued-Chemie......    540.00     540.00
 Sueddeut.Boden...    489.00     489.00
 Ilmenauweg.   3000.00    3000.00
 Terrain-Gesell...   4320.51    4320.51
 Thuringia........    805.00     805.00
 Trinkaus.........    595.00     595.00
 Triumph-Adler....    185.00     185.00
 Tucher Braeu.....    157.00     157.00
 21.03.96              Ute     Vortag
 Uestra...........     64.00      64.00
 Unidruck Stuertz.    285.00     285.00
 VDN..............    223.00     223.00
 Vereinte Versich.   2600.00    2600.00
 Veritas..........    240.00     240.00
 Almuth Versich.   1050.00    1050.00
 W.Jacobsen.......   3100.00    3100.00
 Wanderer.........    155.00     155.00
 Wedag............    480.00     480.00
 WKM Vermoeg.St...    590.00     590.00
 WKM Vermoeg.Vz...    555.00     555.00
 Ingla...........    315.00     315.00
 WMF Vz...........    287.00     287.00
 Wuerttemb.Hypo...    700.00     700.00
 Ymos.............    150.00     150.00

 Quelle: berckmann

   M.f.C.

   Nicolas Zumbansen
   ---------------------------------------------------------------

   Sfebal@ufhm.rrjd.xxf
   72740 Enzenrieth
